Anio,Mes,Region,IPC
2022,Septiembre,Reg V,152.18
2022,Septiembre,Reg VI,150.48
2022,Septiembre,Reg VII,225.54
2022,Septiembre,Reg VIII,169.12
2022,Octubre,Rep,166.97
2022,Octubre,Reg I,140.63
2022,Octubre,Reg II,250.41
2022,Octubre,Reg III,157.69
2022,Octubre,Reg IV,233.71
2022,Octubre,Reg V,153.58
2022,Octubre,Reg VI,151.47
2022,Octubre,Reg VII,227.54
2022,Octubre,Reg VIII,170.62
2022,Noviembre,Rep,166.96
2022,Noviembre,Reg I,141.15
2022,Noviembre,Reg II,248.03
2022,Noviembre,Reg III,157.66
2022,Noviembre,Reg IV,234.16
2022,Noviembre,Reg V,153.8
2022,Noviembre,Reg VI,152.16
2022,Noviembre,Reg VII,225.05
2022,Noviembre,Reg VIII,170.3
2022,Diciembre,Rep,167.35
2022,Diciembre,Reg I,141.48
2022,Diciembre,Reg II,247.87
2022,Diciembre,Reg III,158.65
2022,Diciembre,Reg IV,235.01
2022,Diciembre,Reg V,154.16
2022,Diciembre,Reg VI,152.78
2022,Diciembre,Reg VII,224.7
2022,Diciembre,Reg VIII,170.72
2023,Enero,Rep,167.98
2023,Enero,Reg I,141.5
2023,Enero,Reg II,251.13
2023,Enero,Reg III,158.84
2023,Enero,Reg IV,234.63
2023,Enero,Reg V,154.39
2023,Enero,Reg VI,153.8
2023,Enero,Reg VII,227.34
2023,Enero,Reg VIII,170.44
2023,Febrero,Rep,169.05
2023,Febrero,Reg I,140.94
2023,Febrero,Reg II,257.22
2023,Febrero,Reg III,158.73
2023,Febrero,Reg IV,236.03
2023,Febrero,Reg V,154.91
2023,Febrero,Reg VI,154.9
2023,Febrero,Reg VII,232.92
2023,Febrero,Reg VIII,172
2023,Marzo,Rep,169.69
2023,Marzo,Reg I,140.95
2023,Marzo,Reg II,259.3
2023,Marzo,Reg III,159.78
2023,Marzo,Reg IV,237.7
2023,Marzo,Reg V,155.45
2023,Marzo,Reg VI,155.55
2023,Marzo,Reg VII,234.5
2023,Marzo,Reg VIII,172.06
2023,Abril,Rep,169.98
2023,Abril,Reg I,141.87
2023,Abril,Reg II,257.6
2023,Abril,Reg III,160.22
2023,Abril,Reg IV,236.98
2023,Abril,Reg V,155.76
2023,Abril,Reg VI,155.56
2023,Abril,Reg VII,234.72
2023,Abril,Reg VIII,172.18
2023,Mayo,Rep,169.37
2023,Mayo,Reg I,141.06
2023,Mayo,Reg II,254.8
2023,Mayo,Reg III,160.16
2023,Mayo,Reg IV,237.93
2023,Mayo,Reg V,155.24
2023,Mayo,Reg VI,154.98
2023,Mayo,Reg VII,234.15
2023,Mayo,Reg VIII,172.32
2023,Junio,Rep,169.87
2023,Junio,Reg I,140.99
2023,Junio,Reg II,257.91
2023,Junio,Reg III,159.97
2023,Junio,Reg IV,240.12
