Anio,Mes,DEPARTAMENTO,Region,IPC_Regional_Actual,IPC_Regional_Anterior,Inflacion_regional,Proporcion_Regional,Poblacion_pais,Poblacion_Dpto,Prop_Depto,Contribucion_Inflacion_Depto
2022,Abril,El Progreso,Reg III,149.36,140.31,6.450003564,0.142342109,17357886,195673,0.011272859,0.07270998
2022,Mayo,El Progreso,Reg III,151.31,140.72,7.525582717,0.142342109,17357886,195673,0.011272859,0.084834832
2022,Junio,El Progreso,Reg III,153.02,140.95,8.563320326,0.142342109,17357886,195673,0.011272859,0.096533102
2022,Julio,El Progreso,Reg III,154.63,141.28,9.449320498,0.142342109,17357886,195673,0.011272859,0.106520857
2022,Agosto,El Progreso,Reg III,155.34,141.31,9.928525936,0.142342109,17357886,195673,0.011272859,0.111922872
2022,Septiembre,El Progreso,Reg III,155.98,141.39,10.31897588,0.142342109,17357886,195673,0.011272859,0.116324359
2022,Octubre,El Progreso,Reg III,157.69,142.1,10.97114708,0.142342109,17357886,195673,0.011272859,0.123676193
2022,Noviembre,El Progreso,Reg III,157.66,143.02,10.23633058,0.142342109,17357886,195673,0.011272859,0.115392711
2022,Diciembre,El Progreso,Reg III,158.65,143.98,10.18891513,0.142342109,17357886,195673,0.011272859,0.114858203
2022,Enero,Escuintla,Reg V,141.1,137.92,2.305684455,0.411784723,17357886,813169,0.046847237,0.108014946
2022,Febrero,Escuintla,Reg V,141.06,138.55,1.811620354,0.411784723,17357886,813169,0.046847237,0.084869408
2022,Marzo,Escuintla,Reg V,143.74,139.49,3.046813392,0.411784723,17357886,813169,0.046847237,0.142734789
2022,Abril,Escuintla,Reg V,144.43,139.77,3.334048794,0.411784723,17357886,813169,0.046847237,0.156190974
2022,Mayo,Escuintla,Reg V,147.17,139.96,5.151471849,0.411784723,17357886,813169,0.046847237,0.241332223
2022,Junio,Escuintla,Reg V,148.61,140.22,5.983454571,0.411784723,17357886,813169,0.046847237,0.280308315
2022,Julio,Escuintla,Reg V,150.37,141.06,6.600028357,0.411784723,17357886,813169,0.046847237,0.309193093
2022,Agosto,Escuintla,Reg V,151.26,141.32,7.033682423,0.411784723,17357886,813169,0.046847237,0.329508588
2022,Septiembre,Escuintla,Reg V,152.18,141.75,7.358024691,0.411784723,17357886,813169,0.046847237,0.344703127
2022,Octubre,Escuintla,Reg V,153.58,142.25,7.964850615,0.411784723,17357886,813169,0.046847237,0.373131245
2022,Noviembre,Escuintla,Reg V,153.8,143.16,7.432243643,0.411784723,17357886,813169,0.046847237,0.34818008
2022,Diciembre,Escuintla,Reg V,154.16,143.54,7.398634527,0.411784723,17357886,813169,0.046847237,0.346605585
2022,Enero,Guatemala,Reg I,130.36,126.48,3.067678684,1,17357886,3599257,0.207355723,0.636100731
2022,Febrero,Guatemala,Reg I,131.14,127.04,3.227329975,1,17357886,3599257,0.207355723,0.66920534
2022,Marzo,Guatemala,Reg I,133.13,127.54,4.382938686,1,17357886,3599257,0.207355723,0.90882742
2022,Abril,Guatemala,Reg I,134.01,127.63,4.998824728,1,17357886,3599257,0.207355723,1.036534915
2022,Mayo,Guatemala,Reg I,135.93,128.11,6.104129264,1,17357886,3599257,0.207355723,1.265726136
