"","type_code","freq_code","ref_period_id","ref_year","ref_month","period","reporter_code","reporter_iso","reporter_desc","flow_code","flow_desc","partner_code","partner_iso","partner_desc","partner2code","partner2iso","partner2desc","classification_code","classification_search_code","is_original_classification","cmd_code","cmd_desc","aggr_level","is_leaf","customs_code","customs_desc","mos_code","mot_code","mot_desc","qty_unit_code","qty_unit_abbr","qty","is_qty_estimated","alt_qty_unit_code","alt_qty_unit_abbr","alt_qty","is_alt_qty_estimated","net_wgt","is_net_wgt_estimated","gross_wgt","is_gross_wgt_estimated","cifvalue","fobvalue","primary_value","legacy_estimation_flag","is_reported","is_aggregate","count"
"403","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",690,"SYC","Seychelles",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,41692,41692,0,FALSE,TRUE,NA
"404","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",699,"IND","India",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,TRUE,NA,FALSE,NA,16229559,16229559,0,FALSE,TRUE,NA
"405","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",702,"SGP","Singapore",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,10850832,10850832,0,FALSE,TRUE,NA
"406","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",703,"SVK","Slovakia",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,49312,49312,0,FALSE,TRUE,NA
"407","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",704,"VNM","Viet Nam",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,8345838,8345838,0,FALSE,TRUE,NA
"408","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",705,"SVN","Slovenia",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,500610,500610,0,FALSE,TRUE,NA
"409","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",706,"SOM","Somalia",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,303700,303700,0,FALSE,TRUE,NA
"410","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",710,"ZAF","South Africa",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,24268998,24268998,0,FALSE,TRUE,NA
"411","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",724,"ESP","Spain",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,TRUE,NA,FALSE,NA,84979350,84979350,0,FALSE,TRUE,NA
"412","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",729,"SDN","Sudan",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,2166839,2166839,0,FALSE,TRUE,NA
"413","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",740,"SUR","Suriname",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,5507025,5507025,0,FALSE,TRUE,NA
"414","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",752,"SWE","Sweden",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,4191468,4191468,0,FALSE,TRUE,NA
"415","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",757,"CHE","Switzerland",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,2973566,2973566,0,FALSE,TRUE,NA
"416","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",760,"SYR","Syria",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,7377107,7377107,0,FALSE,TRUE,NA
"417","C","A",20170101,2017,52,"2017",320,"GTM","Guatemala","X","Export",762,"TJK","Tajikistan",0,"W00","World","H5","HS",TRUE,"TOTAL","All Commodities",0,FALSE,"C00","TOTAL CPC","0 ",0,"TOTAL MOT",-1,"N/A",0,FALSE,-1,"N/A",0,FALSE,NA,FALSE,NA,FALSE,NA,9218,9218,0,FALSE,TRUE,NA
